Unnamed: 0;código tipo;Descrição tipo;código;Descrição código
;3;Ritos Maiores;341;Sac. Ac. Imediato do Ofic. do Ritual Externo da 3ª Inic.
;3;Ritos Maiores;342;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic.
;3;Ritos Maiores;343;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador da Capa
;3;Ritos Maiores;344;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador da Tocha
;3;Ritos Maiores;345;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador dos Implementos
;3;Ritos Maiores;350;Sac. Ofic. do Rito do Batismo de Fogo e Sacrifício da 3ª Inic.
;3;Ritos Maiores;351;Sac. Ac. do Ofic. do Rito do Batismo de Fogo e Sacrifício da 3ª Inic.
;3;Ritos Maiores;360;Sac. Ofic. do Rito da Construção da Estrela da 3ª Inic.
;3;Ritos Maiores;361;Sac. Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
;3;Ritos Maiores;362;Discípulo Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
;3;Ritos Maiores;363;Apóstolo Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
;3;Ritos Maiores;364;Mestre Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
;3;Ritos Maiores;370;Sac. Ofic. do Ritual da Comunhão de Fogo da 3ª Inic.
;3;Ritos Maiores;371;Sac. Ac. Imediato do Ofic. do Ritual da Comunhão de Fogo da 3ª Inic.
;3;Ritos Maiores;372;Sac. Ofic. do Ritual da Comunhão dos Iniciados da 3ª Inic.
;3;Ritos Maiores;373;Sac. Ac. do Ofic. do Ritual da Comunhão dos Iniciados da 3ª Inic.
;3;Ritos Maiores;374;Sac. Ofic. do Rito da Palestra da 3ª Inic.
;3;Ritos Maiores;375;Sac. Ac. do Ofic. do Rito da Palestra da 3ª Inic.
;3;Ritos Maiores;380;Sac. Ofic. do Ritual da Confirmação da 3ª Inic.
;3;Ritos Maiores;381;Sac. Ac. do Ofic. do Ritual da Confirmação da 3ª Inic.
;3;Ritos Maiores;385;Sac. Ofic. do Rito do Compromisso da 3ª Inic.
;3;Ritos Maiores;386;Sac. Ac. do Ofic. do Rito do Compromisso da 3ª Inic.
;3;Ritos Maiores;387;Discípulo Ac. do Ofic. do Compromisso da 3ª Inic.
;3;Ritos Maiores;388;Apóstolo Ac. do Ofic. do Compromisso da 3ª Inic.
;3;Ritos Maiores;390;Sac. Ofic. do Rito dos Nós da 3ª Inic.
;3;Ritos Maiores;391;Sac. Ac. do Ofic. do Rito dos Nós da 3ª Inic.
;3;Ritos Maiores;392;Discípulo Ac. do Ofic. do Rito dos Nós da 3ª Inic.
;3;Ritos Maiores;393;Apóstolo (ou Mestre) Ac. do Ofic. do Rito dos Nós da 3ª Inic.
;3;Ritos Maiores;400;Funções nos ritos de 4ª iniciação
;3;Ritos Maiores;401;Sac. Ofic. do Ritual da 4ª Iniciação
;3;Ritos Maiores;402;Sac. Ac. Imediato do Ofic. do Ritual da 4ª Inic.
;3;Ritos Maiores;405;Sac. Mestre de Cerimônias da 4ª Inic.
;3;Ritos Maiores;406;Sac. Ac. do Mestre de Cerimôrias da 4ª Inic.
;3;Ritos Maiores;407;Discípulo Ac. do Mestre de Cerimôrias da 4ª Inic.
;3;Ritos Maiores;408;Apóstolo Ac. do Mestre de Cerimôrias da 4ª Inic.
;3;Ritos Maiores;415;Sac. Guardião do Ritual da 4ª Inic.
;3;Ritos Maiores;416;Sac. Ac. do Guardião do Ritual da 4ª Inic.
;3;Ritos Maiores;417;Discípulo Ac. do Guardião do Ritual da 4ª Inic.
;3;Ritos Maiores;418;Apóstolo Ac. do Guardião do Ritual da 4ª Inic.
;3;Ritos Maiores;420;Sac. Ofic. do Ritual Externo da 4ª Inic.
;3;Ritos Maiores;421;Sac. Ac. Imediato do Ofic. do Ritual Externo da 4ª Inic.
;3;Ritos Maiores;422;Discípulo Ac. do Ofic. do Ritual Externo da 4ª Inic.
;3;Ritos Maiores;423;Apóstolo Ac. do Ofic. do Ritual Externo da 4ª Inic.
;3;Ritos Maiores;430;Sac. Ofic. do Ritual do Renascimento da 4ª Inic.
;3;Ritos Maiores;431;Sac. Ofic. do Rito do Renascimento da 4ª Inic.
;3;Ritos Maiores;432;Sac. Ac. do Ofic. do Rito do Renascimento da 4ª Inic.
;3;Ritos Maiores;435;Sac. Ofic. do Rito da Confissão da 4ª Inic.
;3;Ritos Maiores;436;Sac. Ac. do Ofic. do Rito da Confissão da 4ª Inic.
;3;Ritos Maiores;437;Díscipulo Ac. do Ofic. do Rito da Confissão da 4ª Inic.
;3;Ritos Maiores;438;Apóstolo Ac. do Ofic. do Rito da Confissão da 4ª Inic.
;3;Ritos Maiores;440;Sac. Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
;3;Ritos Maiores;441;Sac. Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
;3;Ritos Maiores;442;Díscipulo Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
;3;Ritos Maiores;443;Apóstolo Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
;3;Ritos Maiores;450;Sac. Ofic. do Rito da Conferição de Poderes da 4ª Inic.
;3;Ritos Maiores;451;Sac. Ac. do Ofic. do Rito da Conferição de Poderes da 4ª Inic.
;3;Ritos Maiores;460;Sac. Ofic. do Rito do Juramento da 4ª Inic.
;3;Ritos Maiores;461;Sac. Ac. do Ofic. do Rito do Juramento da 4ª Inic.
;3;Ritos Maiores;462;Díscipulo Ac. do Ofic. do Rito do Juramento da 4ª Inic.
;3;Ritos Maiores;463;Apóstolo Ac. do Ofic. do Rito do Juramento da 4ª Inic.
;3;Ritos Maiores;470;Sac. Ofic. do Rito da Identificação da 4ª Inic.
;3;Ritos Maiores;471;Sac. Ac. do Ofic. do Rito da Identificação da 4ª Inic.
;3;Ritos Maiores;472;Díscipulo Ac. do Ofic. do Rito da Identificação da 4ª Inic.
;3;Ritos Maiores;473;Apóstolo Ac. do Ofic. do Rito da Identificação da 4ª Inic.
;3;Ritos Maiores;480;Sac. Ofic. do Rito da Ordenação da 4ª Inic.
;3;Ritos Maiores;481;Sac. Ac. do Ofic. do Rito da Ordenação da 4ª Inic.
;3;Ritos Maiores;490;Sac. Ofic. do Ritual da Confirmação da 4ª Inic.
;3;Ritos Maiores;491;Sac. Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
;3;Ritos Maiores;492;Díscipulo Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
;3;Ritos Maiores;493;Apóstolo Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
;3;Ritos Maiores;500;Funções nos ritos de 5ª iniciação
;3;Ritos Maiores;501;Sac. Ofic. do Ritual da 5ª Iniciação 
;3;Ritos Maiores;502;Sac. Ac. Imediato do Ofic. do Ritual da 5ª Inic.
;3;Ritos Maiores;505;Sac. Mestre de Cerimônias da 5ª Inic.
;3;Ritos Maiores;506;Sac. (ou Discípulo) Ac. do Mestre de Cerimôrias da 5ª Inic.
;3;Ritos Maiores;507;Discípulo Ac. do Mestre de Cerimôrias da 5ª Inic.
;3;Ritos Maiores;515;Sac. Guardião do Ritual da 5ª Inic.
;3;Ritos Maiores;516;Sac. Ac. do Guardião do Ritual da 5ª Inic.
;3;Ritos Maiores;517;Discípulo Ac. do Guardião do Ritual da 5ª Inic.
;3;Ritos Maiores;520;Sac. Ofic. das 1ª Vigilias da 5ª Inic.
;3;Ritos Maiores;521;Sac. Ac. do Ofic. das 1ª Vigilias da 5ª Inic.
;3;Ritos Maiores;530;Sac. Ofic. das 2ª Vigilias da 5ª Inic.
;3;Ritos Maiores;531;Sac. Ac. do Ofic. das 2ª Vigilias da 5ª Inic.
;3;Ritos Maiores;540;Sac. Ofic. da 3ª Vigilia da 5ª Inic.
;3;Ritos Maiores;541;Sac. Ac. do Ofic. da 3ª Vigilia da 5ª Inic.
;3;Ritos Maiores;550;Sac. Ofic. da 4ª Vigilia da 5ª Inic.
;3;Ritos Maiores;551;Sac. Ac. do Ofic. da 4ª Vigilia da 5ª Inic.
;3;Ritos Maiores;560;Sac. Ofic. do Rito do Sacrifício da 5ª Inic.
;3;Ritos Maiores;561;Sac. Ac. do Ofic. do Rito do Sacrifício da 5ª Inic.
;3;Ritos Maiores;570;Sac. Ofic. do Rito da Comunhão dos Iniciados da 5ª Inic.
;3;Ritos Maiores;571;Sac. Ac. do Ofic. do Rito da Comunhão dos Iniciados da 5ª Inic.
;3;Ritos Maiores;580;Sac. Ofic. do Ritos da Ord. e Conf. de Poderes e da Revel. da 5ª Inic.
;3;Ritos Maiores;581;Sac. Ac. do Ofic. do Ritos da Ord. e Conf. de Poderes e da Revel. da 5ª Inic.
;3;Ritos Maiores;590;Sac. Ofic. do Rito do Juramento da 5ª Inic.
;3;Ritos Maiores;591;Sac. Ac. do Ofic. do Rito do Juramento da 5ª Inic.
;3;Ritos Maiores;600;Funções nos ritos de Sagração Sacerdotal
;3;Ritos Maiores;601;Sac. Ofic. do Ritual da Sagração Sacerdotal
;3;Ritos Maiores;602;Sac. Ac. Imediato do Ofic. do Ritual da Sagr. Sacerdotal
;3;Ritos Maiores;620;Sac. Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
;3;Ritos Maiores;621;Sac. Ac. do Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
;3;Ritos Maiores;630;Sac. Ofic. do Rito de Comunhão e Oferenda das Vestes da Sagr. Sacerdotal
;3;Ritos Maiores;631;Sac. Ac. do Ofic. do Rito de Com. e Oferenda das Vestes da Sagr. Sacerdotal
;3;Ritos Maiores;640;Sac. Responsável por Grupo da Sagr. Sacerdotal
;3;Ritos Maiores;641;Sac. Ac. do Responsável por Grupo da Sagr. Sacerdotal
;3;Ritos Maiores;700;Funções nos ritos de Veneração
;3;Ritos Maiores;701;Sac. Ofic. do Ritual da Veneração
;3;Ritos Maiores;702;Sac. Ac. Imediato do Ofic. do Ritual da Veneração
;3;Ritos Maiores;705;Sac. Mestre de Cerimônias da Veneração
;3;Ritos Maiores;706;Sac. Ac. do Mestre de Cerimôrias da Veneração
;3;Ritos Maiores;715;Sac. Guardião do Ritual da Veneração
;3;Ritos Maiores;716;Sac. Ac. do Guardião do Ritual da Veneração
;3;Ritos Maiores;720;Sac. Ofic. do Rito da Comunhão e Prece da Veneração
;3;Ritos Maiores;721;Sac. Ac. do Ofic. do Rito da Comunhão e Prece da Veneração
;3;Ritos Maiores;750;Funções nos ritos Especiais
;3;Ritos Maiores;751;Sac. Ofic. do Ritual de Consagração do Santuário
;3;Ritos Maiores;752;Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Santuário
;3;Ritos Maiores;753;Sac. Ac. no Ritual de Consagração do Santuário
;3;Ritos Maiores;761;Sac. Ofic. do Ritual de Consagração do Templo Maior
;3;Ritos Maiores;762;Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Templo Maior
;3;Ritos Maiores;763;Sac. Ac. no Ritual de Consagração do Templo Maior
;3;Ritos Maiores;771;Sac. Ofic. do Ritual de Consagração do Templo Menor
;3;Ritos Maiores;772;Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Templo Menor
;3;Ritos Maiores;773;Sac. Ac. no Ritual de Consagração do Templo Menor
