Tipo;Nome;Descrição
Ritos Maiores;239;Mestre Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
Ritos Maiores;240;Sac. Ofic. do Rito Batismal no Ritual Externo da 2ª Inic.
Ritos Maiores;241;Sac. Ac. do Ofic. do Rito Batismal no Ritual Externo da 2ª Inic.
Ritos Maiores;242;Discípulo Ac. Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
Ritos Maiores;243;Apóstolo Ac. dos Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
Ritos Maiores;244;Mestre Ac. dos Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
Ritos Maiores;250;Sac. Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
Ritos Maiores;251;Sac. Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
Ritos Maiores;252;Discípulo Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
Ritos Maiores;253;Apóstolo Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
Ritos Maiores;260;Sac. Ofic. do Rito da Selagem da 2ª Inic.
Ritos Maiores;261;Sac. Ac. do Ofic. do Rito da Selagem da 2ª Inic.
Ritos Maiores;265;Sac. Ofic. do Rito da Palestra no Ritual da Selagem da 2ª Inic.
Ritos Maiores;266;Sac. Ac. do Ofic. do Rito da Palestra no Ritual da Selagem da 2ª Inic.
Ritos Maiores;270;Sac. Ofic. do Rito da Confissão da 2ª Inic.
Ritos Maiores;271;Sac. Ac. do Ofic. do Rito da Confissão da 2ª Inic.
Ritos Maiores;275;Sac. Ofic. do Rito da Comunhão dos Iniciados da 2ª Inic.
Ritos Maiores;276;Sac. Ac. do Ofic. do Rito da Comunhão dos Iniciados da 2ª Inic.
Ritos Maiores;280;Sac. Ofic. do Rito da Vinculação dos Cordões da 2ª Inic.
Ritos Maiores;281;Sac. Ac. do Ofic. do Rito da Vinculação dos Cordões da 2ª Inic.
Ritos Maiores;285;Sac. Ofic. do Rito dos Nós da 2ª Inic.
Ritos Maiores;286;Sac. Ac. do Ofic. do Rito dos Nós da 2ª Inic.
Ritos Maiores;290;Sac. Ofic. do Rito da Palestra no Ritual da Confirmação da 2ª Inic.
Ritos Maiores;291;Sac. Ac. do Ofic. do Rito da Palestra no Ritual da Confirmação da 2ª Inic.
Ritos Maiores;300;Funções nos ritos de 3ª iniciação
Ritos Maiores;301;Sac. Ofic. do Ritual da 3ª Iniciação
Ritos Maiores;302;Sac. Ac. Imediato do Ofic. do Ritual da 3ª Inic.
Ritos Maiores;305;Sac. Mestre de Cerimônias da 3ª Inic.
Ritos Maiores;306;Sac. Ac. do Mestre de Cerimôrias da 3ª Inic.
Ritos Maiores;307;Discípulo Ac. do Mestre de Cerimôrias da 3ª Inic.
Ritos Maiores;308;Apóstolo Ac. do Mestre de Cerimôrias da 3ª Inic.
Ritos Maiores;309;Mestre Ac. do Mestre de Cerimôrias da 3ª Inic.
Ritos Maiores;315;Sac. Guardião do Ritual da 3ª Inic.
Ritos Maiores;316;Sac. Ac. do Guardião do Ritual da 3ª Inic.
Ritos Maiores;317;Discípulo Ac. do Guardião do Ritual da 3ª Inic.
Ritos Maiores;318;Apóstolo Ac. do Guardião do Ritual da 3ª Inic.
Ritos Maiores;319;Mestre Ac. do Guardião do Ritual da 3ª Inic.
Ritos Maiores;320;Sac. Ofic. dos Ritos Preparatórios da 3ª Inic.
Ritos Maiores;321;Sac. Ac. do Ofic. dos Ritos Preparatórios da 3ª Inic.
Ritos Maiores;322;Discípulo Ac. do Ofic. dos Ritos Preparatórios da 3ª Inic.
Ritos Maiores;340;Sac. Ofic. do Ritual Externo da 3ª Inic.
Ritos Maiores;341;Sac. Ac. Imediato do Ofic. do Ritual Externo da 3ª Inic.
Ritos Maiores;342;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic.
Ritos Maiores;343;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador da Capa
Ritos Maiores;344;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador da Tocha
Ritos Maiores;345;Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador dos Implementos
Ritos Maiores;350;Sac. Ofic. do Rito do Batismo de Fogo e Sacrifício da 3ª Inic.
Ritos Maiores;351;Sac. Ac. do Ofic. do Rito do Batismo de Fogo e Sacrifício da 3ª Inic.
Ritos Maiores;360;Sac. Ofic. do Rito da Construção da Estrela da 3ª Inic.
Ritos Maiores;361;Sac. Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
Ritos Maiores;362;Discípulo Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
Ritos Maiores;363;Apóstolo Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
Ritos Maiores;364;Mestre Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
Ritos Maiores;370;Sac. Ofic. do Ritual da Comunhão de Fogo da 3ª Inic.
Ritos Maiores;371;Sac. Ac. Imediato do Ofic. do Ritual da Comunhão de Fogo da 3ª Inic.
Ritos Maiores;372;Sac. Ofic. do Ritual da Comunhão dos Iniciados da 3ª Inic.
Ritos Maiores;373;Sac. Ac. do Ofic. do Ritual da Comunhão dos Iniciados da 3ª Inic.
Ritos Maiores;374;Sac. Ofic. do Rito da Palestra da 3ª Inic.
Ritos Maiores;375;Sac. Ac. do Ofic. do Rito da Palestra da 3ª Inic.
Ritos Maiores;380;Sac. Ofic. do Ritual da Confirmação da 3ª Inic.
Ritos Maiores;381;Sac. Ac. do Ofic. do Ritual da Confirmação da 3ª Inic.
Ritos Maiores;385;Sac. Ofic. do Rito do Compromisso da 3ª Inic.
Ritos Maiores;386;Sac. Ac. do Ofic. do Rito do Compromisso da 3ª Inic.
Ritos Maiores;387;Discípulo Ac. do Ofic. do Compromisso da 3ª Inic.
Ritos Maiores;388;Apóstolo Ac. do Ofic. do Compromisso da 3ª Inic.
Ritos Maiores;390;Sac. Ofic. do Rito dos Nós da 3ª Inic.
Ritos Maiores;391;Sac. Ac. do Ofic. do Rito dos Nós da 3ª Inic.
Ritos Maiores;392;Discípulo Ac. do Ofic. do Rito dos Nós da 3ª Inic.
Ritos Maiores;393;Apóstolo (ou Mestre) Ac. do Ofic. do Rito dos Nós da 3ª Inic.
Ritos Maiores;400;Funções nos ritos de 4ª iniciação
Ritos Maiores;401;Sac. Ofic. do Ritual da 4ª Iniciação
Ritos Maiores;402;Sac. Ac. Imediato do Ofic. do Ritual da 4ª Inic.
Ritos Maiores;405;Sac. Mestre de Cerimônias da 4ª Inic.
Ritos Maiores;406;Sac. Ac. do Mestre de Cerimôrias da 4ª Inic.
Ritos Maiores;407;Discípulo Ac. do Mestre de Cerimôrias da 4ª Inic.
Ritos Maiores;408;Apóstolo Ac. do Mestre de Cerimôrias da 4ª Inic.
Ritos Maiores;415;Sac. Guardião do Ritual da 4ª Inic.
Ritos Maiores;416;Sac. Ac. do Guardião do Ritual da 4ª Inic.
Ritos Maiores;417;Discípulo Ac. do Guardião do Ritual da 4ª Inic.
Ritos Maiores;418;Apóstolo Ac. do Guardião do Ritual da 4ª Inic.
Ritos Maiores;420;Sac. Ofic. do Ritual Externo da 4ª Inic.
Ritos Maiores;421;Sac. Ac. Imediato do Ofic. do Ritual Externo da 4ª Inic.
Ritos Maiores;422;Discípulo Ac. do Ofic. do Ritual Externo da 4ª Inic.
Ritos Maiores;423;Apóstolo Ac. do Ofic. do Ritual Externo da 4ª Inic.
Ritos Maiores;430;Sac. Ofic. do Ritual do Renascimento da 4ª Inic.
Ritos Maiores;431;Sac. Ofic. do Rito do Renascimento da 4ª Inic.
Ritos Maiores;432;Sac. Ac. do Ofic. do Rito do Renascimento da 4ª Inic.
Ritos Maiores;435;Sac. Ofic. do Rito da Confissão da 4ª Inic.
Ritos Maiores;436;Sac. Ac. do Ofic. do Rito da Confissão da 4ª Inic.
Ritos Maiores;437;Díscipulo Ac. do Ofic. do Rito da Confissão da 4ª Inic.
Ritos Maiores;438;Apóstolo Ac. do Ofic. do Rito da Confissão da 4ª Inic.
Ritos Maiores;440;Sac. Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
Ritos Maiores;441;Sac. Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
Ritos Maiores;442;Díscipulo Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
Ritos Maiores;443;Apóstolo Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
Ritos Maiores;450;Sac. Ofic. do Rito da Conferição de Poderes da 4ª Inic.
Ritos Maiores;451;Sac. Ac. do Ofic. do Rito da Conferição de Poderes da 4ª Inic.
Ritos Maiores;460;Sac. Ofic. do Rito do Juramento da 4ª Inic.
Ritos Maiores;461;Sac. Ac. do Ofic. do Rito do Juramento da 4ª Inic.
Ritos Maiores;462;Díscipulo Ac. do Ofic. do Rito do Juramento da 4ª Inic.
Ritos Maiores;463;Apóstolo Ac. do Ofic. do Rito do Juramento da 4ª Inic.
Ritos Maiores;470;Sac. Ofic. do Rito da Identificação da 4ª Inic.
Ritos Maiores;471;Sac. Ac. do Ofic. do Rito da Identificação da 4ª Inic.
Ritos Maiores;472;Díscipulo Ac. do Ofic. do Rito da Identificação da 4ª Inic.
Ritos Maiores;473;Apóstolo Ac. do Ofic. do Rito da Identificação da 4ª Inic.
Ritos Maiores;480;Sac. Ofic. do Rito da Ordenação da 4ª Inic.
Ritos Maiores;481;Sac. Ac. do Ofic. do Rito da Ordenação da 4ª Inic.
Ritos Maiores;490;Sac. Ofic. do Ritual da Confirmação da 4ª Inic.
Ritos Maiores;491;Sac. Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
Ritos Maiores;492;Díscipulo Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
Ritos Maiores;493;Apóstolo Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
Ritos Maiores;500;Funções nos ritos de 5ª iniciação
Ritos Maiores;501;Sac. Ofic. do Ritual da 5ª Iniciação 
Ritos Maiores;502;Sac. Ac. Imediato do Ofic. do Ritual da 5ª Inic.
Ritos Maiores;505;Sac. Mestre de Cerimônias da 5ª Inic.
Ritos Maiores;506;Sac. (ou Discípulo) Ac. do Mestre de Cerimôrias da 5ª Inic.
Ritos Maiores;507;Discípulo Ac. do Mestre de Cerimôrias da 5ª Inic.
Ritos Maiores;515;Sac. Guardião do Ritual da 5ª Inic.
Ritos Maiores;516;Sac. Ac. do Guardião do Ritual da 5ª Inic.
Ritos Maiores;517;Discípulo Ac. do Guardião do Ritual da 5ª Inic.
Ritos Maiores;520;Sac. Ofic. das 1ª Vigilias da 5ª Inic.
Ritos Maiores;521;Sac. Ac. do Ofic. das 1ª Vigilias da 5ª Inic.
Ritos Maiores;530;Sac. Ofic. das 2ª Vigilias da 5ª Inic.
Ritos Maiores;531;Sac. Ac. do Ofic. das 2ª Vigilias da 5ª Inic.
Ritos Maiores;540;Sac. Ofic. da 3ª Vigilia da 5ª Inic.
Ritos Maiores;541;Sac. Ac. do Ofic. da 3ª Vigilia da 5ª Inic.
Ritos Maiores;550;Sac. Ofic. da 4ª Vigilia da 5ª Inic.
Ritos Maiores;551;Sac. Ac. do Ofic. da 4ª Vigilia da 5ª Inic.
Ritos Maiores;560;Sac. Ofic. do Rito do Sacrifício da 5ª Inic.
Ritos Maiores;561;Sac. Ac. do Ofic. do Rito do Sacrifício da 5ª Inic.
Ritos Maiores;570;Sac. Ofic. do Rito da Comunhão dos Iniciados da 5ª Inic.
Ritos Maiores;571;Sac. Ac. do Ofic. do Rito da Comunhão dos Iniciados da 5ª Inic.
