nome,tipo,descricao
388,Ritos Maiores,Apóstolo Ac. do Ofic. do Compromisso da 3ª Inic.
390,Ritos Maiores,Sac. Ofic. do Rito dos Nós da 3ª Inic.
391,Ritos Maiores,Sac. Ac. do Ofic. do Rito dos Nós da 3ª Inic.
392,Ritos Maiores,Discípulo Ac. do Ofic. do Rito dos Nós da 3ª Inic.
393,Ritos Maiores,Apóstolo (ou Mestre) Ac. do Ofic. do Rito dos Nós da 3ª Inic.
400,Ritos Maiores,Funções nos ritos de 4ª iniciação
401,Ritos Maiores,Sac. Ofic. do Ritual da 4ª Iniciação
402,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da 4ª Inic.
405,Ritos Maiores,Sac. Mestre de Cerimônias da 4ª Inic.
406,Ritos Maiores,Sac. Ac. do Mestre de Cerimôrias da 4ª Inic.
407,Ritos Maiores,Discípulo Ac. do Mestre de Cerimôrias da 4ª Inic.
408,Ritos Maiores,Apóstolo Ac. do Mestre de Cerimôrias da 4ª Inic.
415,Ritos Maiores,Sac. Guardião do Ritual da 4ª Inic.
416,Ritos Maiores,Sac. Ac. do Guardião do Ritual da 4ª Inic.
417,Ritos Maiores,Discípulo Ac. do Guardião do Ritual da 4ª Inic.
418,Ritos Maiores,Apóstolo Ac. do Guardião do Ritual da 4ª Inic.
420,Ritos Maiores,Sac. Ofic. do Ritual Externo da 4ª Inic.
421,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual Externo da 4ª Inic.
422,Ritos Maiores,Discípulo Ac. do Ofic. do Ritual Externo da 4ª Inic.
423,Ritos Maiores,Apóstolo Ac. do Ofic. do Ritual Externo da 4ª Inic.
430,Ritos Maiores,Sac. Ofic. do Ritual do Renascimento da 4ª Inic.
431,Ritos Maiores,Sac. Ofic. do Rito do Renascimento da 4ª Inic.
432,Ritos Maiores,Sac. Ac. do Ofic. do Rito do Renascimento da 4ª Inic.
435,Ritos Maiores,Sac. Ofic. do Rito da Confissão da 4ª Inic.
436,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Confissão da 4ª Inic.
437,Ritos Maiores,Díscipulo Ac. do Ofic. do Rito da Confissão da 4ª Inic.
438,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Confissão da 4ª Inic.
440,Ritos Maiores,Sac. Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
441,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
442,Ritos Maiores,Díscipulo Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
443,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Purificação e Perfumação da 4ª Inic.
450,Ritos Maiores,Sac. Ofic. do Rito da Conferição de Poderes da 4ª Inic.
451,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Conferição de Poderes da 4ª Inic.
460,Ritos Maiores,Sac. Ofic. do Rito do Juramento da 4ª Inic.
461,Ritos Maiores,Sac. Ac. do Ofic. do Rito do Juramento da 4ª Inic.
462,Ritos Maiores,Díscipulo Ac. do Ofic. do Rito do Juramento da 4ª Inic.
463,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito do Juramento da 4ª Inic.
470,Ritos Maiores,Sac. Ofic. do Rito da Identificação da 4ª Inic.
471,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Identificação da 4ª Inic.
472,Ritos Maiores,Díscipulo Ac. do Ofic. do Rito da Identificação da 4ª Inic.
473,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Identificação da 4ª Inic.
480,Ritos Maiores,Sac. Ofic. do Rito da Ordenação da 4ª Inic.
481,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Ordenação da 4ª Inic.
490,Ritos Maiores,Sac. Ofic. do Ritual da Confirmação da 4ª Inic.
491,Ritos Maiores,Sac. Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
492,Ritos Maiores,Díscipulo Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
493,Ritos Maiores,Apóstolo Ac. do Ofic. do Ritual da Confirmação da 4ª Inic.
500,Ritos Maiores,Funções nos ritos de 5ª iniciação
501,Ritos Maiores,Sac. Ofic. do Ritual da 5ª Iniciação
502,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da 5ª Inic.
505,Ritos Maiores,Sac. Mestre de Cerimônias da 5ª Inic.
506,Ritos Maiores,Sac. (ou Discípulo) Ac. do Mestre de Cerimôrias da 5ª Inic.
507,Ritos Maiores,Discípulo Ac. do Mestre de Cerimôrias da 5ª Inic.
515,Ritos Maiores,Sac. Guardião do Ritual da 5ª Inic.
516,Ritos Maiores,Sac. Ac. do Guardião do Ritual da 5ª Inic.
517,Ritos Maiores,Discípulo Ac. do Guardião do Ritual da 5ª Inic.
520,Ritos Maiores,Sac. Ofic. das 1ª Vigilias da 5ª Inic.
521,Ritos Maiores,Sac. Ac. do Ofic. das 1ª Vigilias da 5ª Inic.
530,Ritos Maiores,Sac. Ofic. das 2ª Vigilias da 5ª Inic.
531,Ritos Maiores,Sac. Ac. do Ofic. das 2ª Vigilias da 5ª Inic.
540,Ritos Maiores,Sac. Ofic. da 3ª Vigilia da 5ª Inic.
541,Ritos Maiores,Sac. Ac. do Ofic. da 3ª Vigilia da 5ª Inic.
550,Ritos Maiores,Sac. Ofic. da 4ª Vigilia da 5ª Inic.
551,Ritos Maiores,Sac. Ac. do Ofic. da 4ª Vigilia da 5ª Inic.
560,Ritos Maiores,Sac. Ofic. do Rito do Sacrifício da 5ª Inic.
561,Ritos Maiores,Sac. Ac. do Ofic. do Rito do Sacrifício da 5ª Inic.
570,Ritos Maiores,Sac. Ofic. do Rito da Comunhão dos Iniciados da 5ª Inic.
571,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Comunhão dos Iniciados da 5ª Inic.
580,Ritos Maiores,Sac. Ofic. do Ritos da Ord. e Conf. de Poderes e da Revel. da 5ª Inic.
581,Ritos Maiores,Sac. Ac. do Ofic. do Ritos da Ord. e Conf. de Poderes e da Revel. da 5ª Inic.
590,Ritos Maiores,Sac. Ofic. do Rito do Juramento da 5ª Inic.
591,Ritos Maiores,Sac. Ac. do Ofic. do Rito do Juramento da 5ª Inic.
600,Ritos Maiores,Funções nos ritos de Sagração Sacerdotal
601,Ritos Maiores,Sac. Ofic. do Ritual da Sagração Sacerdotal
602,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da Sagr. Sacerdotal
620,Ritos Maiores,Sac. Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
621,Ritos Maiores,Sac. Ac. do Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
630,Ritos Maiores,Sac. Ofic. do Rito de Comunhão e Oferenda das Vestes da Sagr. Sacerdotal
631,Ritos Maiores,Sac. Ac. do Ofic. do Rito de Com. e Oferenda das Vestes da Sagr. Sacerdotal
640,Ritos Maiores,Sac. Responsável por Grupo da Sagr. Sacerdotal
641,Ritos Maiores,Sac. Ac. do Responsável por Grupo da Sagr. Sacerdotal
700,Ritos Maiores,Funções nos ritos de Veneração
701,Ritos Maiores,Sac. Ofic. do Ritual da Veneração
702,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da Veneração
705,Ritos Maiores,Sac. Mestre de Cerimônias da Veneração
706,Ritos Maiores,Sac. Ac. do Mestre de Cerimôrias da Veneração
715,Ritos Maiores,Sac. Guardião do Ritual da Veneração
716,Ritos Maiores,Sac. Ac. do Guardião do Ritual da Veneração
720,Ritos Maiores,Sac. Ofic. do Rito da Comunhão e Prece da Veneração
721,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Comunhão e Prece da Veneração
750,Ritos Maiores,Funções nos ritos Especiais
